pickup,drop,hour,dayofweek,event,demand,distance,competitor_fare,fare,pickup_code,drop_code
MP Nagar,Lalghati,10,2,0,30,7.47,112.64,126.24,7,6
Railway Station,New Market,12,2,0,73,4.02,95.24,103.76,9,8
Lalghati,Railway Station,3,3,0,25,4.47,120.64,101.74,6,9
Shahpura,New Market,5,3,1,97,6.72,96.64,188.22,10,8
MP Nagar,Indrapuri,12,5,0,56,6.76,168.12,152.18,7,4
Airport,Habibganj,18,0,1,98,12.53,229.36,312.38,0,3
Shahpura,MP Nagar,21,2,0,85,3.67,120.04,118.37,10,7
Shahpura,Lalghati,21,6,0,32,11.14,209.68,184.48,10,6
MP Nagar,Railway Station,13,1,0,88,3.31,100.72,109.43,7,9
Airport,Habibganj,2,5,1,24,12.53,166.36,223.63,0,3
BHEL,Airport,1,0,1,35,16.74,251.88,291.26,2,0
Railway Station,Lalghati,9,1,1,37,4.47,66.64,106.97,9,6
New Market,Indrapuri,8,1,1,57,10.37,208.44,239.02,8,4
Lalghati,Airport,23,0,0,39,4.25,92.0,91.3,6,0
Shahpura,Indrapuri,19,3,1,73,6.89,166.68,180.55,10,4
Railway Station,Lalghati,2,4,0,79,4.47,69.64,103.82,9,6
Kolar,Shahpura,16,5,0,73,4.91,93.92,113.75,5,10
Airport,Railway Station,21,0,1,100,8.55,137.6,227.16,0,9
Shahpura,Habibganj,5,4,1,68,2.26,45.12,89.57,10,3
Indrapuri,Shahpura,0,5,1,95,6.89,92.68,190.29,4,10
Habibganj,Shahpura,22,0,0,89,2.26,79.12,91.0,3,10
BHEL,Habibganj,20,4,1,23,8.25,188.0,178.03,2,3
BHEL,Habibganj,3,3,0,53,8.25,163.0,166.04,2,3
New Market,Shahpura,2,3,1,92,6.72,117.64,192.42,8,10
Habibganj,New Market,8,2,0,43,4.74,70.88,91.68,3,8
Kolar,Shahpura,0,3,1,65,4.91,99.92,138.69,5,10
Ashoka Garden,Railway Station,13,2,1,59,0.98,25.76,67.26,1,9
Ashoka Garden,Kolar,8,5,0,32,9.32,160.84,154.54,1,5
Railway Station,Ashoka Garden,18,2,0,91,0.98,90.76,77.95,9,1
BHEL,Shahpura,3,3,1,70,8.38,189.56,206.58,2,10
BHEL,Indrapuri,9,5,0,36,1.57,83.84,66.34,2,4
Indrapuri,Airport,2,1,0,39,15.69,237.28,230.98,4,0
Airport,New Market,7,6,0,54,8.43,160.16,167.55,0,8
Shahpura,New Market,11,1,0,47,6.72,109.64,118.44,10,8
MP Nagar,New Market,1,3,0,80,3.82,69.84,96.37,7,8
Indrapuri,Airport,13,4,0,70,15.69,247.28,268.6,4,0
Kolar,Habibganj,15,6,0,88,5.08,86.96,130.47,5,3
Kolar,MP Nagar,6,0,1,84,5.82,140.84,181.94,5,7
Shahpura,BHEL,0,5,0,57,8.38,143.56,163.65,10,2
Shahpura,New Market,3,0,0,82,6.72,107.64,156.64,10,8
Railway Station,Shahpura,20,6,1,64,6.92,116.04,170.86,9,10
Lalghati,Shahpura,11,4,0,23,11.14,180.68,175.78,6,10
Habibganj,New Market,22,3,1,46,4.74,123.88,121.93,3,8
Shahpura,Indrapuri,12,1,0,69,6.89,126.68,143.11,10,4
Indrapuri,Kolar,22,4,1,83,11.56,187.72,287.75,4,5
Airport,Indrapuri,13,1,1,91,15.69,253.28,370.25,0,4
MP Nagar,Railway Station,15,5,1,98,3.31,88.72,129.35,7,9
Indrapuri,MP Nagar,18,5,1,20,6.76,93.12,139.74,4,7
BHEL,New Market,3,1,0,38,11.86,183.32,182.62,2,8
Ashoka Garden,Railway Station,18,2,0,65,0.98,83.76,68.61,1,9
BHEL,MP Nagar,13,2,0,73,8.3,167.6,167.54,2,7
Indrapuri,BHEL,8,0,1,93,1.57,98.84,102.14,4,2
MP Nagar,Shahpura,15,4,1,41,3.67,77.04,99.45,7,10
Lalghati,Shahpura,21,4,1,99,11.14,151.68,273.49,6,10
BHEL,MP Nagar,16,3,1,49,8.3,159.6,171.52,2,7
Kolar,Airport,9,3,1,59,14.03,254.36,300.9,5,0
Habibganj,MP Nagar,16,4,1,31,1.42,47.04,66.45,3,7
Lalghati,Shahpura,13,4,1,71,11.14,171.68,242.75,6,10
BHEL,Habibganj,9,3,0,79,8.25,175.0,169.26,2,3
Indrapuri,Airport,14,5,0,49,15.69,213.28,225.28,4,0
New Market,Indrapuri,23,2,1,33,10.37,175.44,199.53,8,4
Habibganj,Lalghati,3,6,1,71,8.88,123.56,200.58,3,6
Kolar,Airport,10,6,1,26,14.03,240.36,256.43,5,0
Ashoka Garden,Airport,8,4,0,51,8.99,126.88,167.34,1,0
Lalghati,Habibganj,15,6,1,51,8.88,132.56,202.38,6,3
Ashoka Garden,Railway Station,12,0,0,95,0.98,32.76,64.52,1,9
Lalghati,Indrapuri,12,6,0,45,11.44,223.28,191.08,6,4
New Market,MP Nagar,6,3,0,34,3.82,79.84,84.64,8,7
Kolar,Airport,20,3,1,88,14.03,187.36,329.18,5,0
Lalghati,New Market,2,5,0,87,5.76,144.12,151.04,6,8
MP Nagar,Lalghati,9,0,1,43,7.47,157.64,161.17,7,6
Shahpura,Lalghati,2,5,1,96,11.14,218.68,286.89,10,6
Indrapuri,BHEL,0,1,1,54,1.57,37.84,78.18,4,2
Indrapuri,Habibganj,15,6,0,80,6.68,168.16,151.38,4,3
Kolar,Shahpura,14,0,1,26,4.91,137.92,127.93,5,10
Habibganj,Airport,17,0,1,54,12.53,195.36,267.5,3,0
New Market,Airport,22,3,1,44,8.43,135.16,168.19,8,0
Airport,Ashoka Garden,18,6,0,49,8.99,154.88,149.98,0,1
Kolar,Railway Station,2,5,1,57,8.59,158.08,203.31,5,9
Airport,Ashoka Garden,4,2,1,41,8.99,162.88,180.46,0,1
Airport,Indrapuri,1,5,0,21,15.69,270.28,240.88,0,4
Shahpura,Airport,21,4,1,89,14.75,187.0,341.2,10,0
Railway Station,Kolar,15,4,1,64,8.59,131.08,197.91,9,5
Railway Station,Indrapuri,0,1,1,48,7.42,165.04,162.42,9,4
Habibganj,Kolar,10,2,0,74,5.08,130.96,124.09,3,5
Ashoka Garden,Shahpura,20,1,1,46,7.18,104.16,146.99,1,10
Habibganj,MP Nagar,14,0,0,43,1.42,73.04,61.84,3,7
BHEL,Lalghati,16,0,1,25,12.5,206.0,231.2,2,6
BHEL,Lalghati,16,1,1,25,12.5,231.0,236.2,2,6
Ashoka Garden,Lalghati,19,6,0,93,4.78,73.36,123.72,1,6
Airport,Railway Station,17,2,1,74,8.55,175.6,206.24,0,9
BHEL,MP Nagar,3,0,0,65,8.3,157.6,165.54,2,7
Indrapuri,New Market,12,2,1,72,10.37,185.44,234.42,4,8
New Market,BHEL,4,5,1,84,11.86,185.32,292.31,8,2
Shahpura,New Market,3,0,1,74,6.72,137.64,172.3,10,8
Indrapuri,Kolar,15,3,0,63,11.56,223.72,217.24,4,5
Shahpura,Habibganj,5,5,1,58,2.26,64.12,93.37,10,3
Lalghati,Kolar,23,4,0,77,11.53,225.36,217.43,6,5
New Market,Railway Station,15,1,0,63,4.02,69.24,98.56,8,9
Shahpura,Airport,10,6,1,92,14.75,207.0,345.2,10,0
Indrapuri,Lalghati,12,3,0,57,11.44,163.28,202.84,4,6
Lalghati,Habibganj,22,6,1,72,8.88,148.56,205.58,6,3
Habibganj,Ashoka Garden,5,6,1,94,5.07,83.84,157.94,3,1
Lalghati,Indrapuri,4,3,0,66,11.44,189.28,208.04,6,4
Indrapuri,BHEL,6,3,0,32,1.57,84.84,66.64,4,2
Habibganj,Shahpura,7,0,0,44,2.26,65.12,66.72,3,10
Habibganj,New Market,5,3,0,72,4.74,73.88,107.78,3,8
Kolar,Shahpura,14,3,1,93,4.91,90.92,156.67,5,10
Railway Station,Ashoka Garden,16,3,0,51,0.98,100.76,73.71,9,1
Airport,MP Nagar,21,5,0,77,11.19,174.28,202.16,0,7
New Market,Kolar,18,4,1,21,5.79,147.48,140.04,8,5
Kolar,Shahpura,7,4,0,64,4.91,97.92,114.55,5,10
MP Nagar,BHEL,9,2,0,47,8.3,156.6,144.7,7,2
MP Nagar,BHEL,19,3,0,88,8.3,112.6,178.87,7,2
Habibganj,New Market,10,2,0,34,4.74,67.88,91.08,3,8
BHEL,New Market,23,2,1,36,11.86,210.32,224.38,2,8
Airport,Shahpura,13,2,0,36,14.75,247.0,226.0,0,10
New Market,Shahpura,16,0,1,41,6.72,165.64,155.25,8,10
Habibganj,Indrapuri,11,4,1,95,6.68,128.16,193.86,3,4
Airport,Habibganj,14,6,0,93,12.53,176.36,248.48,0,3
Railway Station,Kolar,17,5,1,95,8.59,122.08,224.73,9,5
Shahpura,BHEL,13,5,0,60,8.38,151.56,165.25,10,2
Ashoka Garden,Lalghati,9,0,1,57,4.78,117.36,140.3,1,6
Railway Station,New Market,9,0,0,32,4.02,125.24,99.34,9,8
MP Nagar,Airport,7,1,1,95,11.19,207.28,285.45,7,0
Airport,BHEL,22,3,0,47,16.74,272.88,250.48,0,2
BHEL,Kolar,2,0,0,65,13.11,230.32,235.49,2,5
Kolar,Indrapuri,14,5,0,71,11.56,174.72,206.52,5,4
Railway Station,Shahpura,20,2,1,77,6.92,152.04,178.06,9,10
Ashoka Garden,Indrapuri,15,3,0,66,6.76,152.12,147.38,1,4
New Market,BHEL,11,0,0,59,11.86,199.32,214.89,8,2
Habibganj,BHEL,3,1,0,46,8.25,189.0,154.0,3,2
Railway Station,MP Nagar,10,1,1,54,3.31,98.72,115.41,9,7
Airport,Kolar,2,1,0,36,14.03,242.36,218.56,0,5
Lalghati,MP Nagar,5,6,0,93,7.47,145.64,174.32,6,7
Ashoka Garden,Railway Station,5,0,1,70,0.98,37.76,69.66,1,9
Indrapuri,Ashoka Garden,18,3,1,31,6.76,160.12,154.02,4,1
Ashoka Garden,MP Nagar,18,5,1,96,3.76,135.12,146.19,1,7
Shahpura,Airport,11,4,0,30,14.75,260.0,229.9,10,0
Ashoka Garden,Airport,4,6,0,76,8.99,171.88,176.34,1,0
New Market,MP Nagar,7,6,1,65,3.82,91.84,121.38,8,7
Lalghati,MP Nagar,19,0,1,99,7.47,131.64,207.82,6,7
BHEL,MP Nagar,13,1,1,29,8.3,171.6,173.92,2,7
MP Nagar,Lalghati,21,5,1,50,7.47,103.64,150.37,7,6
Shahpura,Airport,4,1,1,51,14.75,231.0,306.6,10,0
Habibganj,Airport,3,2,1,75,12.53,192.36,266.9,3,0
Railway Station,BHEL,1,1,0,93,8.71,131.52,188.17,9,2
MP Nagar,Lalghati,0,4,0,100,7.47,173.64,179.92,7,6
Kolar,Railway Station,10,6,0,72,8.59,119.08,161.17,5,9
Railway Station,New Market,21,2,0,34,4.02,62.24,83.04,9,8
MP Nagar,New Market,3,3,1,81,3.82,81.84,136.54,7,8
BHEL,MP Nagar,1,6,1,32,8.3,182.6,176.93,2,7
Shahpura,Kolar,19,1,1,68,4.91,76.92,134.09,10,5
Shahpura,Airport,12,6,1,33,14.75,247.0,266.4,10,0
Ashoka Garden,Airport,18,4,1,21,8.99,196.88,188.46,1,0
Habibganj,Railway Station,20,2,0,39,4.71,69.52,91.12,3,9
MP Nagar,Railway Station,12,1,1,50,3.31,75.72,94.86,7,9
BHEL,MP Nagar,10,4,0,76,8.3,147.6,163.54,2,7
Shahpura,BHEL,15,1,1,79,8.38,178.56,204.38,10,2
Railway Station,BHEL,16,6,0,44,8.71,185.52,156.82,9,2
Habibganj,New Market,10,6,1,81,4.74,146.88,165.01,3,8
MP Nagar,Indrapuri,13,1,0,78,6.76,110.12,138.3,7,4
Lalghati,Railway Station,13,6,0,41,4.47,77.64,90.44,6,9
MP Nagar,BHEL,13,2,0,57,8.3,145.6,163.14,7,2
Airport,Ashoka Garden,22,1,1,24,8.99,132.88,174.46,0,1
New Market,MP Nagar,13,0,0,59,3.82,86.84,99.77,8,7
BHEL,Airport,11,1,1,87,16.74,230.88,383.41,2,0
Ashoka Garden,Indrapuri,3,6,1,98,6.76,158.12,201.19,1,4
Railway Station,MP Nagar,8,6,0,80,3.31,53.72,87.28,9,7
Indrapuri,BHEL,0,2,0,68,1.57,39.84,64.45,4,2
Lalghati,Shahpura,2,2,1,33,11.14,171.68,208.02,6,10
Habibganj,Shahpura,23,0,0,85,2.26,47.12,84.6,3,10
Habibganj,Kolar,22,2,0,71,5.08,84.96,113.91,3,5
Railway Station,New Market,3,5,1,39,4.02,58.24,99.89,9,8
New Market,Habibganj,10,3,1,61,4.74,109.88,138.23,8,3
Airport,Ashoka Garden,18,3,1,63,8.99,120.88,201.63,0,1
New Market,MP Nagar,3,2,0,95,3.82,115.84,119.31,8,7
Shahpura,BHEL,19,2,1,66,8.38,144.56,197.58,10,2
BHEL,Shahpura,13,1,0,28,8.38,152.56,144.16,2,10
BHEL,Kolar,14,3,1,20,13.11,187.32,234.78,2,5
Indrapuri,Habibganj,4,6,1,85,6.68,162.16,200.66,4,3
Indrapuri,Habibganj,23,4,1,37,6.68,165.16,154.69,4,3
Lalghati,BHEL,23,3,1,23,12.5,194.0,228.8,6,2
Airport,New Market,6,6,0,39,8.43,179.16,152.56,0,8
MP Nagar,Kolar,10,2,1,86,5.82,86.84,171.14,7,5
Lalghati,New Market,7,6,1,64,5.76,91.12,149.17,6,8
Shahpura,MP Nagar,13,3,0,22,3.67,82.04,83.64,10,7
Lalghati,Shahpura,15,4,1,70,11.14,186.68,245.75,6,10
Indrapuri,BHEL,20,2,0,21,1.57,88.84,67.84,4,2
Habibganj,BHEL,13,6,1,29,8.25,123.0,163.6,3,2
Airport,New Market,13,1,0,56,8.43,183.16,173.52,0,8
New Market,Indrapuri,22,3,0,68,10.37,136.44,185.15,8,4
Shahpura,Airport,8,0,0,33,14.75,212.0,216.0,10,0
Indrapuri,Ashoka Garden,23,1,0,20,6.76,168.12,135.22,4,1
Shahpura,Railway Station,22,6,1,88,6.92,150.04,202.26,10,9
Ashoka Garden,Railway Station,10,0,0,84,0.98,68.76,71.72,1,9
BHEL,Shahpura,5,4,1,53,8.38,173.56,203.38,2,10
Airport,Shahpura,9,5,0,69,14.75,243.0,256.92,0,10
Kolar,Shahpura,9,3,1,62,4.91,142.92,147.29,5,10
Lalghati,Ashoka Garden,22,5,0,92,4.78,126.36,134.32,6,1
New Market,Airport,8,4,1,52,8.43,157.16,200.82,8,0
Lalghati,Kolar,10,6,1,76,11.53,165.36,247.1,6,5
Kolar,Shahpura,13,5,1,37,4.91,76.92,114.3,5,10
Indrapuri,New Market,1,4,1,82,10.37,214.44,273.1,4,8
Railway Station,Ashoka Garden,16,1,0,31,0.98,41.76,49.76,9,1
BHEL,MP Nagar,21,0,1,34,8.3,155.6,170.72,2,7
Indrapuri,Railway Station,10,4,0,29,7.42,141.04,132.64,4,9
Airport,Habibganj,14,5,1,85,12.53,188.36,304.18,0,3
Airport,BHEL,20,6,0,23,16.74,224.88,237.68,0,2
Airport,MP Nagar,15,5,1,52,11.19,159.28,240.99,0,7
BHEL,Airport,23,4,1,95,16.74,217.88,380.81,2,0
Kolar,Railway Station,8,5,1,48,8.59,170.08,177.1,5,9
Airport,Kolar,5,4,0,89,14.03,241.36,281.64,0,5
Indrapuri,MP Nagar,2,6,1,89,6.76,129.12,195.39,4,7
MP Nagar,Railway Station,9,5,0,24,3.31,95.72,84.52,7,9
Railway Station,Lalghati,19,4,0,73,4.47,100.64,110.02,9,6
Airport,Indrapuri,23,1,1,66,15.69,212.28,316.39,0,4
Shahpura,BHEL,9,4,1,89,8.38,114.56,219.7,10,2
Indrapuri,Habibganj,18,6,1,81,6.68,105.16,189.26,4,3
Habibganj,Indrapuri,3,6,0,65,6.68,117.16,138.79,3,4
Indrapuri,Lalghati,20,2,0,20,11.44,207.28,186.28,4,6
Indrapuri,Habibganj,14,5,0,71,6.68,141.16,143.59,4,3
Railway Station,Kolar,16,6,1,89,8.59,184.08,237.13,9,5
Railway Station,Shahpura,15,6,1,39,6.92,145.04,152.05,9,10
Ashoka Garden,BHEL,23,3,0,57,7.96,143.52,158.8,1,2
BHEL,Lalghati,5,4,1,62,12.5,211.0,270.2,2,6
Airport,Indrapuri,15,2,1,69,15.69,236.28,321.19,0,4
Habibganj,Indrapuri,23,3,1,42,6.68,160.16,153.19,3,4
Airport,Ashoka Garden,17,4,0,79,8.99,196.88,183.28,0,1
Airport,Ashoka Garden,21,6,1,77,8.99,162.88,210.03,0,1
MP Nagar,Indrapuri,6,5,1,43,6.76,111.12,143.34,7,4
BHEL,Kolar,2,1,0,54,13.11,241.32,238.14,2,5
Indrapuri,MP Nagar,3,4,1,82,6.76,141.12,197.79,4,7
Habibganj,Airport,22,0,0,91,12.53,231.36,259.48,3,0
Airport,BHEL,10,2,0,72,16.74,269.88,285.22,0,2
Railway Station,New Market,23,1,1,51,4.02,116.24,129.14,9,8
MP Nagar,Lalghati,20,2,0,55,7.47,174.64,161.29,7,6
Railway Station,Ashoka Garden,0,6,1,66,0.98,83.76,79.48,9,1
Indrapuri,Airport,22,3,0,34,15.69,262.28,238.48,4,0
New Market,Kolar,13,1,0,20,5.79,96.48,106.88,8,5
Railway Station,Ashoka Garden,22,4,1,67,0.98,74.76,77.06,9,1
MP Nagar,Shahpura,1,2,1,50,3.67,96.04,103.25,7,10
Indrapuri,Kolar,3,0,0,50,11.56,169.72,176.92,4,5
Ashoka Garden,Kolar,23,6,1,25,9.32,173.84,186.61,1,5
Airport,Lalghati,0,4,0,88,4.25,86.0,119.12,0,6
MP Nagar,Indrapuri,16,2,0,72,6.76,113.12,138.9,7,4
Lalghati,New Market,20,4,1,96,5.76,84.12,169.59,6,8
Lalghati,Shahpura,23,1,1,67,11.14,191.68,246.75,6,10
New Market,Indrapuri,1,1,0,44,10.37,176.44,168.04,8,4
New Market,Airport,23,0,1,80,8.43,177.16,204.82,8,0
Railway Station,Habibganj,13,6,1,99,4.71,124.52,160.03,9,3
Airport,New Market,3,0,0,60,8.43,121.16,159.75,0,8
Kolar,Habibganj,21,0,0,39,5.08,118.96,106.36,5,3
BHEL,Ashoka Garden,13,6,1,81,7.96,168.52,223.43,2,1
Shahpura,Railway Station,4,3,0,54,6.92,108.04,139.73,10,9
Shahpura,Habibganj,5,2,0,94,2.26,109.12,98.51,10,3
Airport,Habibganj,23,4,0,60,12.53,222.36,227.22,0,3
Indrapuri,Lalghati,1,4,0,63,11.44,195.28,209.24,4,6
New Market,BHEL,21,1,1,78,11.86,229.32,264.65,8,2
New Market,Railway Station,16,1,1,91,4.02,60.24,135.58,8,9
BHEL,Kolar,1,0,1,69,13.11,223.32,281.45,2,5
Kolar,Shahpura,10,3,1,36,4.91,97.92,118.5,5,10
Lalghati,Shahpura,3,1,1,74,11.14,217.68,251.95,6,10
BHEL,Railway Station,12,3,0,60,8.71,129.52,164.64,2,9
Shahpura,Kolar,3,4,0,89,4.91,120.92,134.97,10,5
MP Nagar,Lalghati,7,1,1,28,7.47,152.64,160.17,7,6
Shahpura,Ashoka Garden,4,0,1,67,7.18,158.16,183.02,10,1
Railway Station,BHEL,9,4,1,34,8.71,180.52,180.62,9,2
New Market,Airport,16,0,1,82,8.43,149.16,227.46,8,0
MP Nagar,Airport,17,2,1,36,11.19,164.28,207.14,7,0
MP Nagar,Kolar,4,1,0,53,5.82,114.84,128.41,7,5
Airport,New Market,4,4,1,21,8.43,144.16,169.99,0,8
Railway Station,BHEL,20,3,0,65,8.71,118.52,162.44,9,2
MP Nagar,Kolar,4,1,1,50,5.82,158.84,143.76,7,5
Kolar,Ashoka Garden,16,4,1,49,9.32,169.84,185.81,5,1
Ashoka Garden,BHEL,19,5,1,69,7.96,107.52,184.13,1,2
MP Nagar,Habibganj,14,6,1,41,1.42,105.04,81.42,7,3
MP Nagar,Ashoka Garden,7,1,0,22,3.76,60.12,80.12,7,1
Ashoka Garden,New Market,11,4,0,85,4.99,79.88,127.84,1,8
Kolar,Ashoka Garden,7,4,0,35,9.32,148.84,151.24,5,1
Lalghati,Ashoka Garden,4,4,1,35,4.78,117.36,120.83,6,1
Indrapuri,Railway Station,4,3,1,38,7.42,149.04,158.85,4,9
Indrapuri,MP Nagar,11,6,0,92,6.76,112.12,158.08,4,7
Ashoka Garden,New Market,0,1,1,58,4.99,83.88,136.63,1,8
Ashoka Garden,Indrapuri,11,5,1,95,6.76,140.12,197.59,1,4
BHEL,Ashoka Garden,5,1,0,75,7.96,159.52,162.0,2,1
BHEL,Indrapuri,10,6,1,74,1.57,60.84,82.78,2,4
Railway Station,Shahpura,16,0,1,80,6.92,166.04,180.86,9,10
Kolar,MP Nagar,13,6,0,42,5.82,104.84,108.84,5,7
Railway Station,MP Nagar,7,1,1,67,3.31,85.72,112.81,9,7
Ashoka Garden,New Market,6,5,0,75,4.99,75.88,111.06,1,8
Railway Station,Ashoka Garden,15,0,0,58,0.98,26.76,55.04,9,1
Ashoka Garden,Lalghati,20,6,0,81,4.78,130.36,135.12,1,6
MP Nagar,Shahpura,17,2,0,71,3.67,133.04,110.51,7,10
Railway Station,Indrapuri,4,4,0,47,7.42,175.04,142.84,9,4
Airport,Railway Station,17,1,1,68,8.55,174.6,206.04,0,9
Indrapuri,Lalghati,8,5,0,75,11.44,198.28,209.84,4,6
Kolar,Indrapuri,18,2,1,57,11.56,216.72,257.81,5,4
Ashoka Garden,Kolar,19,0,0,37,9.32,167.84,156.64,1,5
Indrapuri,Ashoka Garden,13,3,1,64,6.76,163.12,177.97,4,1
Shahpura,Lalghati,1,1,1,73,11.14,183.68,245.15,10,6
BHEL,MP Nagar,5,4,0,76,8.3,177.6,170.54,2,7
Railway Station,Habibganj,0,5,0,95,4.71,138.52,136.15,9,3
Indrapuri,Ashoka Garden,23,0,0,99,6.76,125.12,160.68,4,1
MP Nagar,Ashoka Garden,16,5,1,22,3.76,85.12,102.14,7,1
Kolar,Shahpura,23,5,0,65,4.91,131.92,122.67,5,10
BHEL,Ashoka Garden,10,5,1,86,7.96,135.52,216.83,2,1
Airport,Kolar,10,4,0,92,14.03,229.36,279.24,0,5
Habibganj,Lalghati,22,2,1,78,8.88,193.56,214.58,3,6
Railway Station,Ashoka Garden,18,0,0,91,0.98,43.76,66.72,9,1
Indrapuri,Kolar,11,1,1,28,11.56,160.72,210.86,4,5
Shahpura,BHEL,7,6,1,79,8.38,137.56,196.18,10,2
Railway Station,MP Nagar,21,1,0,90,3.31,104.72,110.23,9,7
Ashoka Garden,MP Nagar,20,3,1,32,3.76,109.12,107.22,1,7
Habibganj,BHEL,5,4,0,33,8.25,174.0,149.5,3,2
Lalghati,Kolar,17,6,1,47,11.53,189.36,216.23,6,5
New Market,Lalghati,20,4,1,88,5.76,89.12,170.59,8,6
Railway Station,Ashoka Garden,9,5,0,53,0.98,94.76,71.91,9,1
Airport,MP Nagar,4,5,0,98,11.19,184.28,232.05,0,7
Kolar,Airport,23,0,0,73,14.03,181.36,236.3,5,0
Airport,MP Nagar,15,6,1,97,11.19,203.28,284.65,0,7
BHEL,Indrapuri,5,2,1,51,1.57,61.84,82.98,2,4
BHEL,New Market,22,2,1,97,11.86,219.32,299.11,2,8
Lalghati,Habibganj,20,1,0,31,8.88,119.56,141.16,6,3
Ashoka Garden,Lalghati,8,0,1,38,4.78,127.36,123.4,1,6
MP Nagar,Railway Station,5,6,0,81,3.31,81.72,105.63,7,9
Kolar,Airport,2,0,1,83,14.03,250.36,341.78,5,0
BHEL,Indrapuri,7,3,1,75,1.57,104.84,93.23,2,4
New Market,Kolar,14,4,0,91,5.79,115.48,145.71,8,5
Lalghati,Shahpura,21,4,0,58,11.14,183.68,203.47,6,10
BHEL,Lalghati,18,1,0,98,12.5,210.0,254.8,2,6
Habibganj,Kolar,18,4,0,88,5.08,118.96,136.87,3,5
Kolar,Indrapuri,23,1,0,73,11.56,218.72,215.74,5,4
Kolar,Ashoka Garden,15,2,0,46,9.32,173.84,158.44,5,1
Shahpura,MP Nagar,12,4,1,53,3.67,110.04,122.86,10,7
New Market,Ashoka Garden,1,5,0,29,4.99,121.88,106.48,8,1
New Market,Kolar,16,1,1,94,5.79,150.48,183.37,8,5
Habibganj,Ashoka Garden,13,3,0,39,5.07,99.84,100.64,3,1
New Market,Indrapuri,19,1,1,54,10.37,141.44,225.62,8,4
BHEL,New Market,18,6,0,67,11.86,162.32,207.49,2,8
Lalghati,BHEL,0,3,0,64,12.5,178.0,218.0,6,2
Lalghati,Ashoka Garden,20,5,0,87,4.78,117.36,132.52,6,1
BHEL,Habibganj,11,1,0,23,8.25,115.0,134.2,2,3
Indrapuri,Ashoka Garden,7,4,0,75,6.76,107.12,137.7,4,1
Lalghati,BHEL,6,6,0,77,12.5,201.0,222.6,6,2
Habibganj,Indrapuri,6,6,0,83,6.68,127.16,160.01,3,4
New Market,Indrapuri,5,6,0,44,10.37,173.44,167.14,8,4
Shahpura,Kolar,2,6,1,89,4.91,131.92,164.87,10,5
Railway Station,MP Nagar,15,2,1,27,3.31,84.72,96.66,9,7
Railway Station,Airport,1,3,0,43,8.55,168.6,150.4,9,0
Kolar,Lalghati,23,5,0,39,11.53,198.36,184.36,5,6
Indrapuri,Railway Station,15,3,0,47,7.42,121.04,127.44,4,9
MP Nagar,Airport,15,3,0,100,11.19,198.28,234.85,7,0
Lalghati,Airport,13,0,1,86,4.25,78.0,143.0,6,0
BHEL,New Market,11,1,0,33,11.86,230.32,196.72,2,8
Indrapuri,Ashoka Garden,19,5,1,48,6.76,167.12,156.12,4,1
Railway Station,Lalghati,5,4,0,45,4.47,142.64,108.34,9,6
Lalghati,BHEL,6,4,0,92,12.5,229.0,258.6,6,2
Railway Station,New Market,16,0,1,95,4.02,58.24,135.18,9,8
Airport,Shahpura,17,5,0,50,14.75,240.0,223.9,0,10
Indrapuri,New Market,4,5,1,92,10.37,149.44,260.1,4,8
New Market,Habibganj,3,6,0,48,4.74,84.88,94.48,8,3
Airport,Railway Station,22,6,1,54,8.55,131.6,197.44,0,9
Ashoka Garden,Airport,13,1,0,42,8.99,157.88,150.88,1,0
Lalghati,New Market,8,5,0,26,5.76,140.12,118.42,6,8
Railway Station,BHEL,19,0,1,86,8.71,148.52,232.03,9,2
Kolar,Lalghati,5,0,1,51,11.53,188.36,251.7,5,6
Kolar,Railway Station,20,1,1,66,8.59,146.08,200.91,5,9
Habibganj,New Market,14,6,1,27,4.74,108.88,118.66,3,8
Ashoka Garden,Kolar,0,6,0,58,9.32,130.84,171.93,1,5
Shahpura,MP Nagar,10,6,1,53,3.67,109.04,122.66,10,7
Ashoka Garden,BHEL,16,3,1,82,7.96,174.52,224.63,1,2
Kolar,Shahpura,14,6,1,36,4.91,98.92,118.7,5,10
Habibganj,Shahpura,22,2,0,33,2.26,44.12,62.52,3,10
BHEL,Shahpura,1,4,0,50,8.38,124.56,137.36,2,10
Kolar,Airport,6,6,1,54,14.03,186.36,287.3,5,0
New Market,Indrapuri,4,3,1,23,10.37,173.44,199.13,8,4
Kolar,BHEL,10,1,0,59,13.11,212.32,231.89,5,2
Lalghati,Railway Station,19,4,0,21,4.47,63.64,87.64,6,9
Kolar,Habibganj,10,1,0,90,5.08,71.96,127.47,5,3
BHEL,Shahpura,6,1,0,76,8.38,123.56,159.65,2,10
Habibganj,Indrapuri,14,2,1,63,6.68,130.16,170.22,3,4
Habibganj,Railway Station,13,6,1,82,4.71,117.52,158.63,3,9
Ashoka Garden,Kolar,16,6,0,65,9.32,177.84,181.33,1,5
Airport,Habibganj,11,6,0,91,12.53,236.36,260.48,0,3
Ashoka Garden,Kolar,9,3,1,42,9.32,180.84,188.01,1,5
Kolar,Indrapuri,1,1,1,98,11.56,150.72,280.35,5,4
Shahpura,Lalghati,6,4,0,84,11.14,222.68,239.06,10,6
BHEL,MP Nagar,9,6,1,53,8.3,186.6,204.84,2,7
Shahpura,New Market,9,6,0,94,6.72,129.64,161.04,10,8
